sample.ID	S	reference
HG01771	0.12588097933692	TRUE
HG01773	0.148367056442011	TRUE
HG01775	0.127782168498037	TRUE
HG01776	0.158676741420034	TRUE
HG01777	0.127158151069711	TRUE
HG01779	0.129870941725874	TRUE
HG01781	0.124996796932409	TRUE
HG01783	0.153261168860817	TRUE
HG01784	0.135690540384912	TRUE
HG01785	0.146473855635131	TRUE
HG01786	0.14856237540245	TRUE
HG01789	0.132367197107706	TRUE
HG01790	0.121858458984793	TRUE
HG01791	0.107485537580066	TRUE
HG01794	0.0882200075387104	TRUE
HG01796	0.140108718942712	TRUE
HG01797	0.108680962998999	TRUE
HG01798	0.116075085113741	TRUE
HG01799	0.0792231398197915	TRUE
HG01800	0.102992918552172	TRUE
HG01801	0.0947206797228253	TRUE
HG01802	0.0956658478496285	TRUE
HG01804	0.0916140780686124	TRUE
HG01805	0.0923421410431319	TRUE
HG01806	0.100264006043215	TRUE
HG01807	0.134032271017452	TRUE
HG01808	0.117584393581876	TRUE
HG01809	0.0794538157564102	TRUE
HG01810	0.111207394557255	TRUE
HG01811	0.097483025669827	TRUE
HG01812	0.0950930618574453	TRUE
HG01813	0.106585225947468	TRUE
HG01815	0.119581046510849	TRUE
HG01816	0.114051607583759	TRUE
HG01817	0.112299288065881	TRUE
HG01840	0.101944270390937	TRUE
HG01841	0.103031031334739	TRUE
HG01842	0.0903931602996811	TRUE
HG01843	0.104100812507728	TRUE
HG01844	0.0935989407916751	TRUE
HG01845	0.107033595982263	TRUE
HG01846	0.0958864331454285	TRUE
HG01847	0.097585253626692	TRUE
HG01848	0.0980652157605887	TRUE
HG01849	0.105518505982364	TRUE
HG01850	0.100666587236945	TRUE
HG01851	0.129538807652529	TRUE
HG01852	0.0923639535556154	TRUE
HG01853	0.101952753987195	TRUE
HG01855	0.0803635007206245	TRUE
HG01857	0.0882614443929929	TRUE
HG01858	0.0974051259239551	TRUE
HG01859	0.0937574901252234	TRUE
HG01860	0.101476341752891	TRUE
HG01861	0.103878982166737	TRUE
HG01862	0.100739735039047	TRUE
HG01863	0.106280129499883	TRUE
HG01864	0.10834228135029	TRUE
HG01865	0.102093158451162	TRUE
HG01866	0.0991210175282496	TRUE
