"rank","expected","before","after"
99393,7.5279202004066,10.474711979006,7.53223500461542
99398,7.54281019469038,10.493877943466,7.54601701109846
99403,7.55782681022221,10.5159414391983,7.56188259625366
99408,7.57297218879141,10.527085509941,7.56989615881373
99413,7.58824852684264,10.5477212729123,7.58473507911152
99418,7.60365807734926,10.5771810386046,7.6059192299331
99423,7.61920315176762,10.5865695270486,7.61267037511393
99428,7.63488612207648,10.609348493175,7.62905044612406
99433,7.65070942290604,10.6184174743883,7.63557183763229
99438,7.66667555376135,10.6509837025751,7.65898980696722
99443,7.68278708134519,10.6652830878747,7.66927231695073
99448,7.69904664198579,10.6800267674347,7.67987431340666
99453,7.71545694417507,10.7032720570712,7.69658971184847
99458,7.7320207712236,10.710202612151,7.70157338774126
99463,7.74874098403867,10.7483397137627,7.72899730281501
99468,7.76562052403245,10.7569340055294,7.73517735105072
99473,7.78266241616756,10.7795426489699,7.75143494513736
99478,7.79986977214797,10.8203246209781,7.78076075359234
99483,7.81724579376362,10.839751250596,7.79473020114592
99488,7.83479377639763,10.8938455131312,7.83362871201981
99493,7.85251711270589,10.9321788923685,7.86119376789107
99498,7.87041929647906,10.9689259256807,7.88761810215293
99504,7.89214307068117,11.0008205363655,7.9105531197019
99509,7.91045154170935,11.0234714774864,7.92684112952399
99514,7.92895076853035,11.0435541390561,7.94128232148848
99519,7.94764471645903,11.0747649843086,7.96372565182592
99524,7.96653747542693,11.0874847215141,7.97287225652695
99529,7.98563326525343,11.12720733776,8.00143629543908
99534,8.00493644119828,11.1658729284177,8.02924024040772
99539,8.02445149981392,11.1746268513029,8.03553507739371
99544,8.04418308511722,11.1861076367108,8.04379076727841
99549,8.06413599510157,11.251354169602,8.09070873695223
99554,8.08431518861233,11.3038828510243,8.12848145793476
99559,8.10472579261018,11.3256821645445,8.14415707294953
99564,8.12537310984862,11.3386204074584,8.15346080238565
99569,8.146262626995,11.3475457878259,8.1598789323131
99574,8.16740002322525,11.3798992349111,8.18314389340642
99579,8.1887911793265,11.4389527681136,8.22560855408875
99584,8.21044218734385,11.4561615066697,8.23798314378602
99589,8.2323593608107,11.5045165063394,8.27275462217037
99594,8.25454924560556,11.5279858745155,8.28963115270091
99599,8.27701863148195,11.5635069928717,8.31517394677699
99604,8.29977456432209,11.6148662227776,8.35210572973033
99609,8.32282435916947,11.6398806138802,8.37009326701631
99614,8.34617561410059,11.683934681443,8.40177199865655
99619,8.36983622500142,11.714097058584,8.42346138862542
99624,8.39381440132043,11.7376288957104,8.44038283980053
99629,8.41811868287644,11.7466329628743,8.44685755242383
99634,8.44275795780739,11.8104090762147,8.49271816170111
99639,8.46774148175409,11.8411573606436,8.51482887030783
99644,8.49307889838229,11.8594897373523,8.52801145421463
99649,8.51878026135678,11.9041475903879,8.56012436047306
99654,8.54485605789228,11.919746849091,8.57134159324136
99659,8.57131723401922,11.9527596327406,8.5950806750513
99664,8.59817522171575,11.9901358132154,8.62195742120677
99669,8.62544196807497,12.0254774100461,8.64737112358833
99674,8.65312996669183,12.0471299475596,8.66294119380358
99679,8.68125229147661,12.1030710680899,8.70316775727383
99684,8.70982263312316,12.170127850512,8.751387454853
99689,8.7388553384858,12.1979851994135,8.77141932770566
99694,8.76836545314789,12.2826463961603,8.83229814050229
99699,8.79836876749743,12.3219979001219,8.86059531719015
99705,8.83504717928221,12.3727272316937,8.89707414809179
99710,8.86619511197383,12.4326378646853,8.94015513856414
99715,8.89789238825958,12.4756273060904,8.97106831078592
99720,8.93015852446394,12.5204242792,9.00328125655786
99725,8.96301409334293,12.5360086382723,9.01448777518716
99730,8.99648080165676,12.5911831099828,9.05416305103359
99735,9.03058157499093,12.6802352603893,9.11819934395245
99740,9.06534065065521,12.7809135214733,9.19059582834843
99745,9.10078367960061,12.8076171527108,9.20979807718929
99750,9.13693783842554,12.8686233213054,9.25366685367753
99755,9.17383195269327,12.9111126872789,9.28422042788094
99760,9.2114966329595,12.9208396286801,9.29121495037056
99765,9.24996442511442,12.9709678799696,9.32726155192295
99770,9.28926997688537,13.0421699112912,9.37846204638952
99775,9.32945022262964,13.0800670183034,9.40571338433403
99780,9.37054458888186,13.1356630583047,9.44569180469109
99785,9.41259522351657,13.2008566128569,9.49257167830075
99790,9.45564725185733,13.2943282304573,9.55978595506928
99795,9.49974906362499,13.3554887006878,9.60376568794328
99800,9.54495263528995,13.419041143359,9.64946545842633
99801,9.554130408364,13.4260381653422,9.65449692984205
99802,9.56335494245428,13.4264207036891,9.65477200840582
99803,9.57262671216012,13.4278647503893,9.65581040441375
