sample.ID	sex	Population	Population.Description	Super.Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00155	1	GBR	British in England and Scotland	EUR	99.3160445270755	140.710055779506	-28.8468728488098	-44.8812934090837	-12.0750740070688	-0.353610822477154	-8.06521506191905	-1.60017257143832	-8.45655363565854	-11.8654993913212	25.9388218556074	-22.4270514175038	-7.29806138363837	21.3420050271896	10.6558484566409	10.0074697323478	-2.81974425905411	2.99290979015158	-1.16791438272393	0.330478850514116
HG00157	1	GBR	British in England and Scotland	EUR	95.4367921715063	142.064380968842	-28.1083686708311	-50.5599249036687	-10.9147785637455	1.09375512470825	-4.39604823148735	-3.09557620418821	-2.24176042642914	-10.2072743182329	19.0398983877605	-22.2924523107573	-12.423146602462	18.5144417636271	3.62862015520886	15.5203086912154	-6.03211112460436	-0.404704952227721	-2.0229974520396	1.19853709266777
HG00158	2	GBR	British in England and Scotland	EUR	94.6092121035869	139.018788522137	-30.8287156509354	-42.954192432615	-10.5679004205409	0.0848088043440066	-6.27551047334733	-2.3468558327574	-5.38102973492833	-9.09826592843988	28.4229912099882	-20.6257563335348	-7.40991611921346	19.982007652528	1.52702284515399	7.11725092646741	-2.45465814666606	14.1539181927138	-7.56877178716288	-2.83677850709829
HG00159	1	GBR	British in England and Scotland	EUR	94.5980793885869	141.372860192139	-27.1387337669626	-47.6077923241685	-8.53362388792117	3.00407690423949	-4.81219412170663	-0.872215613538306	-5.29155798496572	-11.9371075294733	28.1405841360038	-17.876582541035	-6.30077573439824	25.5515194986865	1.02880105387979	0.485104533584394	-5.87396507719259	1.00368674543068	-7.19479138791532	2.1247646828764
HG00160	1	GBR	British in England and Scotland	EUR	97.5302445738125	143.783652683599	-28.4746470348115	-49.0984304318097	-11.8806356144308	0.903024709393261	-4.7311131012651	-2.29535216074287	-6.00618375747027	-10.1400878077318	25.1939102476839	-19.5803548528324	-12.9298865549077	21.6582732989958	9.44980352800995	7.27975666087082	-5.58783440972908	4.70055421555113	-5.82248128840399	0.172003413730689
HG00171	2	FIN	Finnish in Finland	EUR	103.562457687762	115.08377873677	-33.4738272783721	-38.5055942697051	-96.9450213474078	1.98935630356621	-27.2357134814844	12.5924448345627	5.40144445617291	14.6524561632297	-26.9387244776134	17.6880422341173	12.3226728979197	-20.8284603123006	-2.19379981882507	-9.77117782145616	5.06588332832219	-6.51680638537545	1.53811660567605	1.74049862227727
HG00173	2	FIN	Finnish in Finland	EUR	101.613753633202	118.194127869728	-33.2839068456447	-41.1681885509771	-89.3779263321942	4.23191942914575	-27.2361952881031	14.3254184178811	3.50350071484529	11.0610643452847	-23.2849005664898	20.409886113187	4.63140135982298	-12.7400089722317	-2.81338782828568	-8.31391131385135	3.43950123713153	-1.20259303820082	-0.0186626909241268	-3.89161688414696
HG00174	2	FIN	Finnish in Finland	EUR	100.045888101858	125.92678127318	-33.6893247431615	-43.4611654526248	-69.8901529863413	4.08194550106406	-21.574012924712	9.50912847509595	3.1267678686327	9.39599097876904	-11.7746529624152	1.83846531443424	0.841218475290022	-4.06438414073463	0.299611637071488	-2.84584316653756	-3.46666080600819	-0.806784655283532	-1.70920701075699	-1.271304758171
HG00176	2	FIN	Finnish in Finland	EUR	100.432428558034	117.260757560142	-32.3699832088541	-42.9976271826093	-88.1883496613481	4.07584245717582	-26.8307267907871	13.8826045149616	7.85973877454845	9.44426421778971	-18.6153377902897	20.1753466832599	8.33236072527709	-24.565717804081	-5.85597958155231	-12.5689522240574	2.3261699944591	5.30076200748692	7.16218771787316	5.60808987475558
HG00177	2	FIN	Finnish in Finland	EUR	100.878657743337	112.88841594231	-30.5376205652902	-38.9885936678074	-90.5188720509548	4.66659367081232	-24.214016237291	12.449827374929	4.86593269470085	11.4905444713315	-20.4659504403397	18.9379976180377	12.9394090291481	-11.4702513937904	-5.8526072656292	-2.51369850996328	-5.26945606784609	7.37363620583423	-3.38975680938116	0.300359409047508
HG00178	2	FIN	Finnish in Finland	EUR	102.037305638695	119.037963608172	-30.536012987514	-44.0031366333326	-83.9803675997066	2.36117365192601	-23.0394391225732	11.4810921797351	5.09294214253423	7.72499673638319	-18.5234643250821	12.0656025134128	7.52761107699343	-4.42087235875166	-1.47644978486579	-9.81827547953202	2.53855433527718	2.8790472279896	1.570023605012	-3.08176041385924
HG00179	2	FIN	Finnish in Finland	EUR	99.0473160695046	117.53690920977	-30.8820368284154	-40.3979282149854	-83.5203462988266	3.20768299671077	-25.0340841924793	13.4081613316499	7.22301727347787	7.59534983693034	-12.5337920122518	6.50979659818783	4.5087517667292	-7.52061332300842	-0.268835117762954	-6.77386405551525	1.8715301623645	-6.2468445789743	0.711963373181231	4.70707349361097
HG00180	2	FIN	Finnish in Finland	EUR	101.365606029171	117.453891856691	-30.3605185649279	-41.442571631271	-82.1661644978485	2.25121199527415	-25.2405783952879	13.2464537068996	2.72494424706369	6.96249358749913	-15.5564308508656	5.1413276143888	1.36060189098607	-8.92807361291272	-1.83562394644512	1.49431482684752	-0.852866563923229	4.54919502612406	4.25402033858314	-2.91253522872565
HG00181	1	FIN	Finnish in Finland	EUR	93.6663375803128	121.633899074008	-24.4725780632017	-41.3359899342381	-53.8480510823947	1.05016554234863	-13.5760372973875	8.93676539591515	2.07192981719354	10.4767913088623	-15.7112798825544	11.3256312729123	15.2260448440275	-22.5147767607961	-13.9975291560115	-10.0933062793552	0.292297685264029	1.425343696858	3.80386451396785	1.6109765489998
HG00182	1	FIN	Finnish in Finland	EUR	98.3224237109294	114.228952266182	-32.9046471285957	-38.5017608838135	-89.4470912558738	3.18992107495977	-25.5770133140841	11.9523422730723	4.98086953745688	14.1413792253611	-20.581811185339	13.9676394884584	3.43838360176131	-15.1421560701535	-4.17772899329907	-10.7422203456613	1.70726387654786	-0.344454181114276	1.77436099776702	-3.51042241525968
HG00183	1	FIN	Finnish in Finland	EUR	100.726355943802	117.291035723922	-29.5266842207812	-40.5229143477345	-92.0566922359817	4.55682445379282	-26.7321126152692	12.9602458180087	5.43676119891672	10.0703200019241	-23.9166476032935	18.5597256499809	4.87047661428039	-14.3028489897109	-11.0429559989824	-6.5700573084836	1.32324020920415	-2.96299919418978	3.06559237389101	-2.48264857005166
HG00185	1	FIN	Finnish in Finland	EUR	101.508550774195	115.446393740922	-31.1897370017726	-42.5730617601771	-91.4601786899528	0.9896672771017	-29.2089297188152	14.4644424661422	5.65139542111656	11.255025777655	-21.4806026278797	8.66054971174006	10.2018190811674	-14.7728572103979	-3.45964890469678	-6.63336785949865	5.18524194564056	-7.25620023659257	0.427762836737804	-2.34105166541381
